report_date,category,revenue
31/03/2022,Set,47217.0
31/03/2022,Top,4065.0
31/03/2022,Western Dress,2198.0
31/03/2022,kurta,30533.0
01/04/2022,Blouse,4516.0
01/04/2022,Bottom,360.0
01/04/2022,Ethnic Dress,11466.0
01/04/2022,Set,394350.0
01/04/2022,Top,52031.0
01/04/2022,Western Dress,46438.0
01/04/2022,kurta,195491.0
02/04/2022,Blouse,7894.0
02/04/2022,Bottom,1175.0
02/04/2022,Ethnic Dress,14537.0
02/04/2022,Saree,648.0
02/04/2022,Set,777429.0
02/04/2022,Top,98215.0
02/04/2022,Western Dress,91444.0
02/04/2022,kurta,369496.0
03/04/2022,Blouse,13309.0
03/04/2022,Bottom,1416.0
03/04/2022,Ethnic Dress,16983.0
03/04/2022,Saree,4964.0
03/04/2022,Set,1172736.0
03/04/2022,Top,151442.0
03/04/2022,Western Dress,134148.0
03/04/2022,kurta,507976.0
04/04/2022,Blouse,13093.0
04/04/2022,Bottom,1674.0
04/04/2022,Ethnic Dress,13315.0
04/04/2022,Saree,4964.0
04/04/2022,Set,1180284.0
04/04/2022,Top,159229.0
04/04/2022,Western Dress,136655.0
04/04/2022,kurta,494402.0
05/04/2022,Blouse,12463.0
05/04/2022,Bottom,2151.0
05/04/2022,Ethnic Dress,14782.0
05/04/2022,Saree,4316.0
05/04/2022,Set,1182392.0
05/04/2022,Top,163702.0
05/04/2022,Western Dress,132062.0
05/04/2022,kurta,509946.0
06/04/2022,Blouse,10512.0
06/04/2022,Bottom,2728.0
06/04/2022,Ethnic Dress,19764.0
06/04/2022,Saree,899.0
06/04/2022,Set,1032705.0
06/04/2022,Top,148952.0
06/04/2022,Western Dress,143958.0
06/04/2022,kurta,535056.0
07/04/2022,Blouse,16811.0
07/04/2022,Bottom,4496.0
07/04/2022,Ethnic Dress,17331.0
07/04/2022,Saree,2082.0
07/04/2022,Set,1023375.0
07/04/2022,Top,125303.0
07/04/2022,Western Dress,142114.0
07/04/2022,kurta,543176.0
08/04/2022,Blouse,18717.0
08/04/2022,Bottom,5948.0
08/04/2022,Ethnic Dress,19545.0
08/04/2022,Saree,4561.0
08/04/2022,Set,1012127.0
08/04/2022,Top,126124.0
