id,trip_duration
id3004672,684
id3505355,841
id1217141,684
id2150126,887
id1598245,684
id0668992,684
id1765014,684
id0898117,921
id3905224,1925
id1543102,887
id3024712,841
id3665810,887
id1836461,694
id3457080,887
id3376065,684
id3008739,684
id0902216,887
id3564824,1082
id0820280,887
id0775088,1404
id1468488,1082
id2657479,684
id1262719,887
id1345524,1352
id2911638,684
id2849512,1387
id0236829,684
id2905906,684
id3737939,684
id0766179,2176
id3422639,684
id3864673,1404
id2052707,887
id0591443,887
id1686925,921
id0429284,684
id1860783,1428
id0928636,684
id3904914,684
id2844603,887
id3400686,684
id1408427,1082
id1712395,684
id2475053,887
id3485082,684
id0827714,684
id2765337,887
id3139513,887
id1823365,684
id2690061,887
id2214549,684
id0552977,684
id1556775,1082
id0364901,684
id3345419,906
id0814840,2614
id3159174,2176
id3650870,1501
id2576205,684
id3408993,887
id1969762,1082
id3043563,887
id0697361,684
id0527242,684
id1890566,887
id0882843,2699
id2126329,1802
id3443802,887
id1114580,887
id2529811,684
id1792589,684
id0071844,684
id3468683,684
id2108605,887
id3353510,684
id1707352,1406
id1650458,684
id2175910,859
id1443779,887
id2459479,1584
id0358410,684
id0582396,684
id2262648,684
id2422279,684
id3993739,684
id2578671,684
id3313356,887
id0526259,1082
id2384843,887
id1266405,1082
id2043002,887
id1284494,887
id0226404,684
id1170300,1584
id1309256,1082
id3645922,887
id1595264,684
id2594446,921
id0777968,684
id0426749,684
id1300331,684
id1220261,684
id2859902,887
id2726399,887
id1653770,694
id2785851,887
id2023315,684
id0603959,887
id0521659,1082
id2972142,684
id0127362,887
id0349746,684
id3125801,887
id2552900,684
id3564322,694
id2217703,684
id2125163,684
id1668771,887
id0448827,684
id0684597,684
id2485399,1082
id1804505,887
id3202512,887
id3544706,684
id0976070,684
id2451797,887
id0377405,684
id2195452,684
id0876799,684
id3716230,684
id0392392,887
id1615256,684
id1358922,887
id2648035,1404
id2678173,684
id1760464,684
id3723177,684
id2111062,887
id1353681,887
id2604302,684
id1442028,684
id3094517,684
id0130846,684
id1177771,684
id0276992,1802
id3214777,859
id3613100,887
id3196583,684
id3273243,1584
id0585259,684
id0562890,887
id2584115,1082
id2329025,1082
id0975674,684
id0139753,887
id0394293,684
id2144237,684
id0495393,887
id1671429,684
id1155279,684
id3780029,1925
id3759898,684
id2068572,684
id3029354,887
id1233395,921
